matrix_index,drug_name,candidate_count,identity_class,candidate_ids,candidate_names,inchikey_values,smiles_count,notes
569,fotemustine,2,equivalent_by_inchikey,"[""CHEMBL549386"",""DRUGBANK:DB04106""]","[""FOTEMUSTINE"",""Fotemustine""]","[""YAKWPXVTIGTRJH-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['YAKWPXVTIGTRJH-UHFFFAOYSA-N']. No namespace was preferred.
570,thiotepa,2,insufficient_structure,"[""CHEMBL671"",""RXNORM:10473""]","[""THIOTEPA"",""thiotepa""]","[""FOCVUCIESVLUNU-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
575,febuxostat,2,insufficient_structure,"[""CHEMBL1164729"",""RXNORM:73689""]","[""FEBUXOSTAT"",""febuxostat""]","[""BQSJTQLCZDPROO-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
582,nesiritide,2,insufficient_structure,"[""CHEMBL1201668"",""DRUGBANK:DB04899""]","[""NESIRITIDE"",""Nesiritide""]","[""HPNRHPKXQZSDFX-OAQDCNSJSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
588,ingenol.mebutate,2,mixed_identity,"[""CHEMBL1863513"",""DRUGBANK:DB05013""]","[""INGENOL MEBUTATE"",""Ingenol mebutate""]","[""VDJHFHXMUKFKET-UXMMOKKRSA-N"",""VDJHFHXMUKFKET-WDUFCVPESA-N""]",2,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
596,ecallantide,2,insufficient_structure,"[""CHEMBL1201837"",""DRUGBANK:DB05311""]","[""ECALLANTIDE"",""Ecallantide""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
597,romiplostim,2,insufficient_structure,"[""CHEMBL1201832"",""DRUGBANK:DB05332""]","[""ROMIPLOSTIM"",""Romiplostim""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
600,mipomersen,2,insufficient_structure,"[""CHEMBL2219536"",""DRUGBANK:DB05528""]","[""MIPOMERSEN"",""Mipomersen""]","[""TZRFSLHOCZEXCC-HIVFKXHNSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
602,ustekinumab,2,insufficient_structure,"[""CHEMBL1201835"",""DRUGBANK:DB05679""]","[""USTEKINUMAB"",""Ustekinumab""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
603,abiraterone,2,insufficient_structure,"[""CHEMBL254328"",""RXNORM:1100072""]","[""ABIRATERONE"",""abiraterone""]","[""GZOSMCIZMLWJML-VJLLXTKPSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
611,prasugrel,2,insufficient_structure,"[""CHEMBL1201772"",""RXNORM:613391""]","[""PRASUGREL"",""prasugrel""]","[""DTGLZDAWLRGWQN-UHFFFAOYSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
614,tolvaptan,2,mixed_identity,"[""CHEMBL344159"",""DRUGBANK:DB06212""]","[""TOLVAPTAN"",""Tolvaptan""]","[""GYHCTFXIZSNGJT-UHFFFAOYSA-N"",""GYHCTFXIZSNGJT-XMMPIXPASA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
618,lacosamide,2,insufficient_structure,"[""CHEMBL58323"",""RXNORM:623400""]","[""LACOSAMIDE"",""lacosamide""]","[""VPPJLAIAVCUEMN-GFCCVEGCSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
619,dalbavancin,2,equivalent_by_inchikey,"[""CHEMBL3301669"",""DRUGBANK:DB06219""]","[""DALBAVANCIN"",""Dalbavancin""]","[""KGPGQDLTDHGEGT-SZUNQUCBSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['KGPGQDLTDHGEGT-SZUNQUCBSA-N']. No namespace was preferred.
626,ziconotide,2,equivalent_by_inchikey,"[""CHEMBL4594214"",""DRUGBANK:DB06283""]","[""ZICONOTIDE"",""Ziconotide""]","[""BPKIMPVREBSLAJ-QTBYCLKRSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['BPKIMPVREBSLAJ-QTBYCLKRSA-N']. No namespace was preferred.
627,teriparatide,2,equivalent_by_inchikey,"[""CHEMBL525610"",""DRUGBANK:DB06285""]","[""TERIPARATIDE"",""Teriparatide""]","[""OGBMKVWORPGQRR-UMXFMPSGSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['OGBMKVWORPGQRR-UMXFMPSGSA-N']. No namespace was preferred.
633,ambrisentan,2,insufficient_structure,"[""CHEMBL1111"",""RXNORM:358274""]","[""AMBRISENTAN"",""ambrisentan""]","[""OUJTZYPIHDYQMC-LJQANCHMSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
645,ofatumumab,2,insufficient_structure,"[""CHEMBL1201836"",""DRUGBANK:DB06650""]","[""OFATUMUMAB"",""Ofatumumab""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
646,liraglutide,2,equivalent_by_inchikey,"[""CHEMBL4084119"",""DRUGBANK:DB06655""]","[""LIRAGLUTIDE"",""Liraglutide""]","[""YSDQQAXHVYUZIW-QCIJIYAXSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['YSDQQAXHVYUZIW-QCIJIYAXSA-N']. No namespace was preferred.
657,buserelin,2,insufficient_structure,"[""CHEMBL2110824"",""DRUGBANK:DB06719""]","[""BUSERELIN"",""Buserelin""]","[""CUWODFFVMXJOKD-UVLQAERKSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
664,histrelin,2,mixed_identity,"[""CHEMBL1201255"",""DRUGBANK:DB06788""]","[""HISTRELIN"",""Histrelin""]","[""BKEMVGVBBDMHKL-VYFXDUNUSA-N"",""HHXHVIJIIXKSOE-QILQGKCVSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
665,lanreotide,2,mixed_identity,"[""CHEMBL1201185"",""DRUGBANK:DB06791""]","[""LANREOTIDE"",""Lanreotide""]","[""PUDHBTGHUJUUFI-SCTWWAJVSA-N"",""PUDHBTGHUJUUFI-UHFFFAOYSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=2. No namespace was preferred.
666,lanthanum.carbonate,2,insufficient_structure,"[""CHEMBL2096647"",""DRUGBANK:DB06792""]","[""LANTHANUM CARBONATE"",""Lanthanum carbonate""]","[""NZPIUJUFIFZSPW-UHFFFAOYSA-H""]",0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
673,lurasidone,2,insufficient_structure,"[""CHEMBL1237021"",""RXNORM:1040028""]","[""LURASIDONE"",""lurasidone""]","[""PQXKDMSYBGKCJA-CVTJIBDQSA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
683,tesamorelin,2,insufficient_structure,"[""CHEMBL1237026"",""DRUGBANK:DB08869""]","[""TESAMORELIN"",""Tesamorelin""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
699,teduglutide,2,equivalent_by_inchikey,"[""CHEMBL2104987"",""DRUGBANK:DB08900""]","[""TEDUGLUTIDE"",""Teduglutide""]","[""CILIXQOJUNDIDU-ASQIGDHWSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['CILIXQOJUNDIDU-ASQIGDHWSA-N']. No namespace was preferred.
731,saccharated.iron.oxide,2,insufficient_structure,"[""CHEMBL1200823"",""DRUGBANK:DB09146""]","[""IRON SUCROSE"",""Iron sucrose""]","[""FWZTTZUKDVJDCM-CEJAUHOTSA-M""]",0,Candidate source: local Parquet dot-normalized recovery. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=1; non-empty canonical SMILES=0. No namespace was preferred.
742,desirudin,2,insufficient_structure,"[""CHEMBL1201662"",""DRUGBANK:DB11095""]","[""DESIRUDIN"",""Desirudin""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
744,colestilan,2,insufficient_structure,"[""CHEMBL2103800"",""DRUGBANK:DB11634""]","[""COLESTILAN CHLORIDE"",""Colestilan chloride""]",[],0,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; non-empty InChIKeys=0; non-empty canonical SMILES=0. No namespace was preferred.
748,atracurium,2,equivalent_by_inchikey,"[""CHEMBL1360"",""DRUGBANK:DB13295""]","[""ATRACURIUM"",""Atracurium""]","[""YXSLJKQTIDHPOT-UHFFFAOYSA-N""]",2,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; shared InChIKey(s): ['YXSLJKQTIDHPOT-UHFFFAOYSA-N']. No namespace was preferred.
749,mifamurtide,2,mixed_identity,"[""CHEMBL2107354"",""DRUGBANK:DB13615""]","[""MIFAMURTIDE"",""Mifamurtide""]","[""NGIYLSFJGRLEMI-MHTUOZSYSA-M"",""SARBMGXGWXCXFW-GJHVZSAVSA-M""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 2 total; distinct non-empty InChIKeys=2; distinct non-empty canonical SMILES=1. No namespace was preferred.
750,fluticasone,3,insufficient_structure,"[""CHEMBL1201396"",""CHEMBL1473"",""RXNORM:41126""]","[""FLUTICASONE"",""FLUTICASONE PROPIONATE"",""fluticasone""]","[""MGNNYOODZCAHBA-GQKYHHCASA-N""]",1,Candidate source: original candidate CSV. Compared 2 top-evidence candidate(s) of 3 total; non-empty InChIKeys=1; non-empty canonical SMILES=1. No namespace was preferred.
756,ceftobiprole.medocaril,3,mixed_identity,"[""CHEMBL1652606"",""CHEMBL4297101"",""DRUGBANK:DB14733""]","[""CEFTOBIPROLE MEDOCARIL"",""CEFTOBIPROLE MEDOCARIL"",""Ceftobiprole medocaril""]","[""HFTSMHTWUFCYMJ-FDNJTQOMSA-N"",""HFTSMHTWUFCYMJ-YIOMYIDASA-N"",""MFAWUGGPPMTWPU-INRVRKGJSA-M""]",2,Candidate source: local Parquet dot-normalized recovery. Compared 3 top-evidence candidate(s) of 3 total; distinct non-empty InChIKeys=3; distinct non-empty canonical SMILES=2. No namespace was preferred.
